instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"6.atsp",12.503288002,"68879","mtz","random",1608.0,56
"7.atsp",15.739107586,"68879","mtz","random",1839.0,65
"1.atsp",7.772038881,"211881","mtz","annealing",39.0,17
"10.atsp",38.275506164,"211881","mtz","annealing",14422.0,48
"2.atsp",37.665619145,"211881","mtz","annealing",6905.0,53
"3.atsp",11.77024688,"211881","mtz","annealing",1286.0,34
"4.atsp",13.073591415,"211881","mtz","annealing",1530.0,39
"5.atsp",17.613531329,"211881","mtz","annealing",1776.0,48
"6.atsp",23.348540861,"211881","mtz","annealing",1608.0,56
"7.atsp",31.970045526,"211881","mtz","annealing",1839.0,65
"1.atsp",7.106483325,"991958","mtz","random",39.0,17
"10.atsp",35.008557132,"991958","mtz","random",14422.0,48
"2.atsp",26.782102475,"991958","mtz","random",6905.0,53
"3.atsp",7.034799194,"991958","mtz","random",1286.0,34
"4.atsp",9.925784175,"991958","mtz","random",1530.0,39
"5.atsp",12.631669182,"991958","mtz","random",1776.0,48
"6.atsp",10.216101422,"991958","mtz","random",1608.0,56
"7.atsp",15.633132567,"991958","mtz","random",1839.0,65
"1.atsp",8.029652114,"46039","mtz","annealing",39.0,17
"10.atsp",38.58342465,"46039","mtz","annealing",14422.0,48
"2.atsp",43.486234866,"46039","mtz","annealing",6905.0,53
"3.atsp",11.699462031,"46039","mtz","annealing",1286.0,34
"4.atsp",12.351472554,"46039","mtz","annealing",1530.0,39
"5.atsp",19.852626811,"46039","mtz","annealing",1776.0,48
"6.atsp",24.145431444,"46039","mtz","annealing",1608.0,56
"7.atsp",34.634349388,"46039","mtz","annealing",1839.0,65
"1.atsp",6.781048525,"101630","mtz","random",39.0,17
"10.atsp",49.164018119,"101630","mtz","random",14422.0,48
"2.atsp",37.869683228,"101630","mtz","random",6905.0,53
"3.atsp",8.901311549,"101630","mtz","random",1286.0,34
"4.atsp",10.177138534,"101630","mtz","random",1530.0,39
"5.atsp",19.364332867,"101630","mtz","random",1776.0,48
"6.atsp",13.959839163,"101630","mtz","random",1608.0,56
"7.atsp",20.461226036,"101630","mtz","random",1839.0,65
"1.atsp",8.508541337,"892052","mtz","annealing",39.0,17
"10.atsp",64.81127623,"892052","mtz","annealing",14422.0,48
"2.atsp",47.56252577,"892052","mtz","annealing",6905.0,53
"3.atsp",11.162151861,"892052","mtz","annealing",1286.0,34
"4.atsp",18.645182213,"892052","mtz","annealing",1530.0,39
"5.atsp",17.762503287,"892052","mtz","annealing",1776.0,48
"6.atsp",25.749072307,"892052","mtz","annealing",1608.0,56
"7.atsp",33.520377239,"892052","mtz","annealing",1839.0,65
"1.atsp",6.952540698,"918285","mtz","random",39.0,17
"10.atsp",33.067684951,"918285","mtz","random",14422.0,48
"2.atsp",28.102736042,"918285","mtz","random",6905.0,53
"3.atsp",6.805361561,"918285","mtz","random",1286.0,34
"4.atsp",7.809213049,"918285","mtz","random",1530.0,39
"5.atsp",13.159883143,"918285","mtz","random",1776.0,48
"6.atsp",10.641501802,"918285","mtz","random",1608.0,56
"7.atsp",19.117405586,"918285","mtz","random",1839.0,65
"1.atsp",8.118375434,"757179","mtz","annealing",39.0,17
"10.atsp",41.991779278,"757179","mtz","annealing",14422.0,48
"2.atsp",45.969570038,"757179","mtz","annealing",6905.0,53
"3.atsp",11.450656185,"757179","mtz","annealing",1286.0,34
"4.atsp",13.241682561,"757179","mtz","annealing",1530.0,39
"5.atsp",18.104624453,"757179","mtz","annealing",1776.0,48
"6.atsp",20.736655482,"757179","mtz","annealing",1608.0,56
"7.atsp",29.77258165,"757179","mtz","annealing",1839.0,65
